0 1 -0.0317222
0.0634657 0.997987 -0.0950388
0.126931 0.991955 -0.157973
0.190397 0.981929 -0.220271
0.253863 0.96795 -0.281682
0.317328 0.950072 -0.341958
0.380794 0.92837 -0.400858
0.44426 0.902929 -0.458144
0.507725 0.873853 -0.513585
0.571191 0.841258 -0.566958
0.634657 0.805275 -0.618048
0.698122 0.766051 -0.66665
0.761588 0.723741 -0.712567
0.825054 0.678518 -0.755615
0.888519 0.630562 -0.795621
0.951985 0.580067 -0.832423
1.01545 0.527237 -0.865873
1.07892 0.472284 -0.895837
1.14238 0.415429 -0.922193
1.20585 0.356902 -0.944837
1.26931 0.296937 -0.963676
1.33278 0.235777 -0.978634
1.39624 0.173667 -0.989653
1.45971 0.110858 -0.996686
1.52318 0.0476026 -0.999706
1.58664 -0.0158444 -0.998701
1.65011 -0.0792276 -0.993674
1.71357 -0.142292 -0.984647
1.77704 -0.204783 -0.971654
1.8405 -0.26645 -0.95475
1.90397 -0.327044 -0.934
1.96744 -0.38632 -0.909491
2.0309 -0.444042 -0.881319
2.09437 -0.499975 -0.849598
2.15783 -0.553896 -0.814456
2.2213 -0.605586 -0.776035
2.28476 -0.654837 -0.73449
2.34823 -0.701452 -0.689987
2.41169 -0.745243 -0.642705
2.47516 -0.786032 -0.592836
2.53863 -0.823657 -0.540579
2.60209 -0.857965 -0.486146
2.66556 -0.888819 -0.429756
2.72902 -0.916094 -0.371635
2.79249 -0.93968 -0.312018
2.85595 -0.959482 -0.251144
2.91942 -0.975421 -0.189259
2.98289 -0.987432 -0.126612
3.04635 -0.995468 -0.063455
3.10982 -0.999495 -4.26464e-05
3.17328 -0.999498 0.0633699
3.23675 -0.995476 0.126527
3.30021 -0.987446 0.189175
3.36368 -0.97544 0.251061
3.42715 -0.959506 0.311936
3.49061 -0.939709 0.371556
3.55408 -0.916128 0.429679
3.61754 -0.888858 0.486072
3.68101 -0.858009 0.540508
3.74447 -0.823705 0.592767
3.80794 -0.786085 0.64264
3.87141 -0.745299 0.689925
3.93487 -0.701513 0.734432
3.99834 -0.654902 0.775982
4.0618 -0.605654 0.814407
4.12527 -0.553967 0.849553
4.18873 -0.500049 0.881278
4.2522 -0.444118 0.909455
4.31566 -0.386399 0.93397
4.37913 -0.327124 0.954724
4.4426 -0.266532 0.971634
4.50606 -0.204867 0.984632
4.56953 -0.142376 0.993665
4.63299 -0.0793127 0.998697
4.69646 -0.0159297 0.999707
4.75992 0.0475174 0.996693
4.82339 0.110773 0.989665
4.88686 0.173583 0.978652
4.95032 0.235694 0.963698
5.01379 0.296855 0.944865
5.07725 0.356822 0.922226
5.14072 0.415352 0.895875
5.20418 0.472209 0.865916
5.26765 0.527165 0.83247
5.33112 0.579998 0.795672
5.39458 0.630496 0.755671
5.45805 0.678455 0.712627
5.52151 0.723682 0.666713
5.58498 0.765996 0.618115
5.64844 0.805225 0.567028
5.71191 0.841212 0.513658
5.77537 0.873811 0.45822
5.83884 0.902892 0.400936
5.90231 0.928338 0.342038
5.96577 0.950046 0.281763
6.02924 0.967928 0.220354
6.0927 0.981913 0.158057
6.15617 0.991944 0.0951237
6.21963 0.997981 0.0318074
