0 0
0.005 4.77914e-08
0.01 6.11357e-08
0.015 7.80107e-08
0.02 9.9295e-08
0.025 1.26071e-07
0.03 1.59668e-07
0.035 2.01713e-07
0.04 2.54193e-07
0.045 3.19528e-07
0.05 4.00653e-07
0.055 5.0112e-07
0.06 6.25215e-07
0.065 7.78093e-07
0.07 9.65934e-07
0.075 1.19613e-06
0.08 1.47748e-06
0.085 1.82046e-06
0.09 2.23746e-06
0.095 2.7431e-06
0.1 3.35463e-06
0.105 4.09223e-06
0.11 4.97955e-06
0.115 6.04415e-06
0.12 7.31802e-06
0.125 8.83826e-06
0.13 1.06477e-05
0.135 1.27955e-05
0.14 1.53381e-05
0.145 1.83401e-05
0.15 2.18749e-05
0.155 2.60259e-05
0.16 3.08872e-05
0.165 3.6565e-05
0.17 4.31784e-05
0.175 5.08607e-05
0.18 5.97602e-05
0.185 7.00417e-05
0.19 8.1887e-05
0.195 9.54966e-05
0.2 0.00011109
0.205 0.000128907
0.21 0.000149208
0.215 0.000172275
0.22 0.000198411
0.225 0.000227942
0.23 0.000261214
0.235 0.000298596
0.24 0.000340475
0.245 0.000387258
0.25 0.000439369
0.255 0.000497249
0.26 0.000561348
0.265 0.000632127
0.27 0.000710054
0.275 0.000795595
0.28 0.000889216
0.285 0.000991373
0.29 0.00110251
0.295 0.00122303
0.3 0.00135335
0.305 0.00149382
0.31 0.00164474
0.315 0.0018064
0.32 0.00197899
0.325 0.00216265
0.33 0.00235746
0.335 0.0025634
0.34 0.00278037
0.345 0.00300818
0.35 0.00324652
0.355 0.00349501
0.36 0.00375311
0.365 0.00402021
0.37 0.00429557
0.375 0.00457833
0.38 0.00486752
0.385 0.00516206
0.39 0.00546074
0.395 0.00576229
0.4 0.00606531
0.405 0.00636832
0.41 0.00666977
0.415 0.00696805
0.42 0.00726149
0.425 0.0075484
0.43 0.00782705
0.435 0.00809572
0.44 0.0083527
0.445 0.00859633
0.45 0.00882497
0.455 0.00903707
0.46 0.00923116
0.465 0.00940588
0.47 0.00955997
0.475 0.00969233
0.48 0.00980199
0.485 0.00988813
0.49 0.00995012
0.495 0.00998751
0.5 0.01
0.505 0.00998751
0.51 0.00995012
0.515 0.00988813
0.52 0.00980199
0.525 0.00969233
0.53 0.00955997
0.535 0.00940588
0.54 0.00923116
0.545 0.00903707
0.55 0.00882497
0.555 0.00859633
0.56 0.0083527
0.565 0.00809572
0.57 0.00782705
0.575 0.0075484
0.58 0.00726149
0.585 0.00696805
0.59 0.00666977
0.595 0.00636832
0.6 0.00606531
0.605 0.00576229
0.61 0.00546074
0.615 0.00516206
0.62 0.00486752
0.625 0.00457833
0.63 0.00429557
0.635 0.00402021
0.64 0.00375311
0.645 0.00349501
0.65 0.00324652
0.655 0.00300818
0.66 0.00278037
0.665 0.0025634
0.67 0.00235746
0.675 0.00216265
0.68 0.00197899
0.685 0.0018064
0.69 0.00164474
0.695 0.00149382
0.7 0.00135335
0.705 0.00122303
0.71 0.00110251
0.715 0.000991373
0.72 0.000889216
0.725 0.000795595
0.73 0.000710054
0.735 0.000632127
0.74 0.000561348
0.745 0.000497249
0.75 0.000439369
0.755 0.000387258
0.76 0.000340475
0.765 0.000298596
0.77 0.000261214
0.775 0.000227942
0.78 0.000198411
0.785 0.000172275
0.79 0.000149208
0.795 0.000128907
0.8 0.00011109
0.805 9.54966e-05
0.81 8.1887e-05
0.815 7.00417e-05
0.82 5.97602e-05
0.825 5.08607e-05
0.83 4.31784e-05
0.835 3.6565e-05
0.84 3.08872e-05
0.845 2.60259e-05
0.85 2.18749e-05
0.855 1.83401e-05
0.86 1.53381e-05
0.865 1.27955e-05
0.87 1.06477e-05
0.875 8.83826e-06
0.88 7.31802e-06
0.885 6.04415e-06
0.89 4.97955e-06
0.895 4.09223e-06
0.9 3.35463e-06
0.905 2.7431e-06
0.91 2.23746e-06
0.915 1.82046e-06
0.92 1.47748e-06
0.925 1.19613e-06
0.93 9.65934e-07
0.935 7.78093e-07
0.94 6.25215e-07
0.945 5.0112e-07
0.95 4.00653e-07
0.955 3.19528e-07
0.96 2.54193e-07
0.965 2.01713e-07
0.97 1.59668e-07
0.975 1.26071e-07
0.98 9.9295e-08
0.985 7.80107e-08
0.99 6.11357e-08
0.995 4.77914e-08
